video_id,transcript,word_count
nKiC9sEP2vM,"Thank you for joining us for The Tradex Foods ""3-Minute Sustainability Recap"" A summary of hot news items in sustainability – for seafood purchasers and industry. The following information is a rundown of key sustainability news items for the month of October. ------First up, the number of retailers committed to sustainable seafood keeps on growing: Target announced that it will only sell sustainable and traceable seafood by 2015. And the first African retailer – Pick n Pay –- has made a similar commitment. Pick n Pay is South Africa’s second largest retailer. And finally, the infamous Pike Place Market in Seattle will be dropping their iconic mascot – the monkfish – along with other unsustainable species as a part of their new policy to source only sustainable seafood. ------Next up – Russia made some headlines in seafood sustainability this month: The World Wildlife Fund - and Fisheries Holding Karat have agreed to develop educational programs on sustainable fisheries. The aim is to increase knowledge amongst fishing crew members and fishing companies of sustainable fisheries and the requirements for environmental certification according to the MSC. And, McDonalds is considering the launch of a Pollock processing factory in Russia. The factory would produce filet-of-fish sandwiches out of Alaska Pollock sourced from MSC-Certified fisheries in the Sea of Okhotsk and the Bering Sea. This is contingent on the Russian fisheries obtaining the MSC eco-label. And in Germany, two supermarket chains have launched campaigns to promote sustainable seafood: Kaufland is supporting traditional tonguesole fishing in Gambia. For every kg of MSC certified fish sold during the 4 week campaign, 50 euro cents will be donated to the African fishery to help improve the situation of fishermen in Gambia who hope to be certified against the MSC standard. And, EDEKA supermarkets – is working with MSC on a campaign that features high impact point-of-sale materials to promote MSC products. This is the first joint-MSC in-store supermarket campaign that encourages shoppers to look for the eco-label. ------Next up, The California Academy of Sciences is showcasing Safeway's leadership in seafood sustainability as part of the Academy's ""Science in Action"" video exhibit. The video highlights innovative ways that researchers, retailers and environmental groups are harvesting seafood without jeopardizing the health of the ecosystems from which it was caught. And, a study conducted by the University of British Columbia found that Peru ranks first in terms of sustainable fisheries. Peru’s program includes individual catch quotas, a GPS ship tracking system and inspectors at every factory. ------And finally, a quick update on the Marine Stewardship Council: Big Y – one of the largest supermarket chains in New England recently obtained MSC Chain of Custody Certification. The Zhangzidao Scallop fishery has become the first Chinese fishery to enter full assessment for MSC certification. The fishery uses diving and dredging methods to produce 60,000 metric of Yesso Scallops each year. And finally, the Fogo Island coldwater Shrimp off the coast of Newfoundland has obtained MSC certification. ------Thank you for joining me for The Tradex Foods ""3-Minute Sustainability Recap"" This is Ryan McKay - “BUY SMART” and “EAT MORE SEAFOOD”",517
H9BNzzxlscA,"My name is Christine Marquette and I'm a registered and licensed dietitian with the Austin Regional Clinic and I'm going to talk to you about how long a person can live without water. This is actually very dependent on two things: weather conditions, and the person's percentage of body fat. The more body fat a person has, the less bodied water that they have, so if somebody has a very high percentage of body fat, they're actually going to become dehydrated much more quickly than somebody that has a higher percentage of body water. As far as these conditions, the climate also has a huge impact. If you were say, out in the desert. It's a hundred and twenty degrees, you would probably only survive about two days without water. However, if you were in a colder climate, say maybe it was about fifty degrees, and you were in shape, you may be able to survive up to ten days. Maybe even fourteen days, again, if you were somebody who had a very high body water percentage. So it's a very wide range, maximum of two days in a very hot climate, all the way up to a maximum of fourteen days in a colder climate, if you have a very high body water percentage. The other thing to keep in mind is your actual health status. If you have any type of sickness, say for example you had a cold or the flu or something like that, you are already running a fever, that would also cause you to become more dehydrated more quickly so you would not survive as long without water as somebody that entered that state in a healthy condition, so wide range of how long you can survive without water.",295
sFLTjqVS7AE,"The President: Hi, everybody. This Monday, I'm heading to Alaska for a three-day tour of the state. I've been looking forward to this for a long time. Not only because Alaska is one of the most beautiful places in a country that's full of beautiful places - but because I'll have several opportunities to meet with everyday Alaskans about what's going on in their lives. I'll travel throughout the state, meeting with Alaskans who live above the Arctic Circle, with Alaska natives, and with folks who earn their livelihoods through fishing and tourism. And I expect to learn a lot. One thing I've learned so far is that a lot of these conversations begin with climate change. And that's because Alaskans are already living with its effects. More frequent and extensive wildfires. Bigger storm surges as sea ice melts faster. Some of the swiftest shoreline erosion in the world - in some places, more than three feet a year. Alaska's glaciers are melting faster too, threatening tourism and adding to rising seas. And if we do nothing, Alaskan temperatures are projected to rise between six and twelve degrees by the end of the century, changing all sorts of industries forever. This is all real. This is happening to our fellow Americans right now. In fact, Alaska's governor recently told me that four villages are in ""imminent danger"" and have to be relocated. Already, rising sea levels are beginning to swallow one island community. Think about that. If another country threatened to wipe out an American town, we'd do everything in our power to protect ourselves. Climate change poses the same threat, right now. That's why one of the things I'll do while I'm in Alaska is to convene other nations to meet this threat. Several Arctic nations have already committed to action. Since the United States and China worked together to set ambitious climate targets last year, leading by example, many of the world's biggest emitters have come forward with new climate plans of their own. And that's a good sign as we approach this December's global climate negotiations in Paris. Now, one of the ways America is leading is by transitioning away from dirty energy sources that threaten our health and our environment, and by going all-in on clean, renewable energy sources like wind and solar. And Alaska has the natural resources to be a global leader in this effort. Now even as we accelerate this transition, our economy still has to rely on oil and gas. As long as that's the case, I believe we should rely more on domestic production than on foreign imports, and we should demand the highest safety standards in the industry - our own. Still, I know there are Americans who are concerned about oil companies drilling in environmentally sensitive waters. Some are also concerned with my administration's decision to approve Shell's application to drill a well off the Alaskan coast, using leases they purchased before I took office. I share people's concerns about offshore drilling. I remember the BP spill in the Gulf of Mexico all too well. That's precisely why my administration has worked to make sure that our oil exploration conducted under these leases is done at the highest standards possible, with requirements specifically tailored to the risks of drilling off Alaska. We don't rubber-stamp permits. We made it clear that Shell has to meet our high standards in how they conduct their operations - and it's a testament to how rigorous we've applied those standards that Shell has delayed and limited its exploration off Alaska while trying to meet them. The bottom line is, safety has been and will continue to be my administration's top priority when it comes to oil and gas exploration off America's precious coasts - even as we push our economy and the world to ultimately transition off of fossil fuels. So I'm looking forward to talking with Alaskans about how we can work together to make America the global leader on climate change around the globe. And we're going to offer unique and engaging ways for you to join me on this trip all week at WhiteHouse.gov/Alaska. Because what's happening in Alaska is happening to us. It's our wakeup call. And as long as I'm President, America will lead the world to meet the threat of climate change before it's too late. Thanks, and have a great weekend.",734
A2E78CGi5TU,"DAVID BELL: What I'm most interested right now is in how internet retailers acquire customers. And one thing we know from traditional retailing is it's all about location. So location, location, location-- three most important variables in retailing. But there, we're talking about the location of the store. And on the internet, what I'm finding is that picture gets reversed a little bit. It's still about location, but now it's about how the location of existing customers compares to location of potential customers. So what that means if you can sort of get a groundswell of demand going in a particular neighborhood, that can really take off. So being able to see the right locations becomes very important. Online word of mouth is also very effective, but it's not as effective as offline word of mouth. And the reason I think is because location plays such a big role in you want to buy. So if I email you and you live in San Francisco to try diapers.com, you trust me. So the the word of mouth is going. But the problem is you live right next to a drugstore. And so your relative benefit from using an online website is very different than mine. If I tell my next door neighbor here in Philadelphia and we both live way out in the suburbs, then the benefit I get-- which is not having to go to the store and low prices-- she'll get the same thing. And when we're co-located, the world of mouth is much more effective. The things the firms can do through their own actions like good prices, good delivery, great customer service that will generate word of mouth. But to the extent they can add to that, so I get an economic incentive if I buy a pair of pants and I tell you about them and you buy them. I get you 25% off my next pair, creating some kind of a virtuous self-regenerating word of mouth through giving your best customers incentives I think is very, very powerful. And those best customers have enormous leverage. If you take the very, very best ones and you kind of map out their family tree-- and I've seen this in a few different businesses now-- one customer may generate for you hundreds of other customers. So I think that's the thing that's really the most effective mechanism that I've seen. Marketers certainly need to be aware of the conversations that are going on about their products and services. I think even from the top level of management down, marketers now are having dialogue and conversations. So I think the potential to create a dialogue and to have meaningful interaction with customers is obviously greater than it was before. I think the firm needs to be careful though about seeding messages and doing things that sort of subvert the whole credibility of word of mouth, because part of the reason word of mouth's effective is because you're my friend and you tell me to do something. If I suddenly find that my friend wearing this nice shirt was given the shirt by the shirt supplier, then that starts to muddy the waters a little bit. So I think firms certainly need to know what's being said about them. They certainly need to take an active role. They certainly need to create incentives systems for their customers to recruit other customers. Though I think they also need to be careful about trying to seed or control conversations in a way that may be somewhat aversive to the customer base, or may be seen as sort of tainting the purity of the natural conversation about what's good and what's not.",620
dJ5MXl66-UQ,"Hi my name is Juliana Terlizzi de Lima Netto I'm 26 years old and I'm from Rio de Janeiro, Brazil I've graduated from Le Cordon Bleu London in March 2013 Where I obtained my Patisserie Diploma after concluding the basic, intermediate, and superior courses. The Cordon Bleu gave me the fundamental skills in pastry I needed to work in the professional culinary industry. In addition to that I attended cake decorating and boulangerie programme also at the Cordon Bleu, which complemented what I had learned and thus increased my skills. After graduating I trialed for a commis pastry chef role at Duck & Waffle. A British and european restaurant located in the top of the heron tower one of the tallest buildings in London There I was able to work in production and service and it wasn't long before I got promoted to their trendy sister restaurant Sushisamba owned by the same company which has a cuisine fusion of Brazilian, Japanese, and Peruvian food. There I was able to do more sophisticated desserts and was very fortunate to be a part of the team that worked the World's 50 Best restaurants luncheon that was held there and also to be a part of the Taste of Lodon festival where we worked for both Duck & Waffle and Sushisamba. My goals now are to keep on building my career abroad work in the U.S, and gain some culinary experience in a Michelin level restaurant. In pastry, obviously. Thank you for listening, bye.",251
veA6ECsGFxI,"Accenture's ability to help its pharmaceutical clients achieve more efficient global regulatory submissions that will enable them to get medicines to market more quickly, safely and at a lower cost has been enhanced. They have entered into an agreement to acquire Octagon Research Solutions, Inc., a provider of clinical and regulatory information management solutions and software for the pharmaceutical industry. Octagon's 380-member staff has deep experience in clinical data services and regulatory submissions, with 400 original applications completed, and the company is the fifth largest user of the U.S. Food and Drug Administration's (FDA) electronic submission gateway. For the complete article, please go to Big4.com",105
EJT25p7JahU,"Let me also stand back and remind -- I think this is an important reminder -- what the United States seeks in Syria, what we have been working for, for more than a year now: We support a unified, free, prosperous, and tolerant Syria that respects the rights of all its people and becomes a force for stability and peace in the region rather than a threat. And no matter how the unrest in Syria ends -- and it's going to end; Assad's time will come -- it's going to take a lot of hard work for the Syrian people to rebuild their country and begin this process of political transition that gets them where they want and deserve to go, which is not a Syria that trades one tyrant for another set of tyrants, or one tyrant for a set of extremists, but a Syria that is able to make the transition to a democratic, tolerant, prosperous, unified country. So our policy is directed, first and foremost, towards squeezing the Assad regime to end its violence, but also to support those Syrians inside and outside of the country who are working for that kind of future. That's what our nonlethal assistance is designed to do, that's what our training is designed to do, to help Syrians unify behind these kinds of objectives -- a real transition plan to get there, new leaders who are prepared to bring Syria into that kind of future, to resist extremism, to work against it, to not allow their own fight for freedom to be hijacked. That's what we are working on. We're also supporting Syrians in preparing accountability cases against anybody with blood on their hands from any side. So that is a trajectory we are on, including our support for humanitarian assistance. As you know, we have quite a dire situation, including now refugees in very high numbers in parts of the world where we hadn't spoken about them before. We've now got some 150,000 Syrian refugees in Egypt. We've got increasing numbers in parts of Europe. So it's an issue of great concern.",352
rVG8gOAY0JE,"You've recently purchased some corporate stock and you're becoming involved in following the progress and the operations of the corporation in which you've invested and you're hearing terminology that you vaguely remember maybe you heard about it in your 8th grade civics class or you read about it in the newspaper, but you're not that comfortable with the terminology and one of the phrases is corporate loyalty, duty of corporate loyalty. Hello, I'm Robert Todd and I'm here to answer the question what is corporate duty of loyalty? Basically this concept involves the board of directors and the officers of the corporation having a duty to the shareholders to manage their affairs to the best of their ability and perhaps more importantly, to avoid conflicts of interests. And conflicts of interests in its simplest terminology and concept is really putting the corporate's best interests first before the individual interests of the individual members of the board of directors or the individual interest of the corporate officers. I'm Robert Todd and thank you for watching.",174
6c7vAwDSVGc,About 20－thousand nurses from more than one－hundred－30 countries are gathered in Seoul for this year′s International Council of Nurses Conference. While the main theme of the conference will be the global nursing community joining efforts to ensure health and safety around the world， it should be interesting to see what speakers like the WHO Director－General Margaret Chan will have to say about the MERS outbreak in Korea. Arirang TV will be bringing you live coverage of the opening of the global event from just before 6：30 p.m.， Korea time.,89
oPvUDLhTrjI,"You learn a little bit about culture, When you live in with people, Who have been living around the world. For example my friend from Burundi: Jeen, The other day, Came up to me to say, “My name’s Jean, si vous plait!” It seems Jeen means Demon, In his local language, So you can see him steaming, When I can’t even manage, To distinguish between spiritual warfare, And a particular type of trousers. And then I know a Canadian, a Latin American, and a German, Who is one person. He claims ancestral roots, From all aboot the western world, And yet finds time to rest his mind in Myanmar. He’s the first man I’ve ever met, That had a hawk attack his head, To carry him away, or so he said, If only he’d been born a bunny rabbit instead. When was the last time you thanked the Lord, That you haven’t got long ears, And carrots aren’t adored? Speaking of carrots, I’ve got a ginger friend. Have you ever met Northern Irish black belt, Who was born near Cardiff but swam well? Who’s learning Greek and Japanese, Give him fire and he’ll eat it with ease, He might wash your feet in a breeze, So when you meet him you're pleased, Because you'll leave with no cheese, And... If you wanna meet him, Give me a shout... I know the guy. And I know a girl, She’s Thai, She brought herself over here, But then God took over her. She was doing her Masters in my first year, But somehow found time to give me time, making life less of a blur. I’ve never met someone before, Who completely epitomises what love looks like, When it’s intrinsically linked to the way you live your life. And it’s because she was so close to Jesus, She saw us for how he see’s us, That we’re not just sinners, We’re just people, Who need love. So here in our multicultural society, These are some of the incredible cultures that we bring to the multi. And I’m not trying to be insulting, Or say that you’re faulty, Because everybody's culture is unique. Whether you live productive or destructive, That’s your culture, Whether it’s been constructed or abducted, That’s your culture, So embrace the good, the bad, And make the ugly beautiful, Because when every culture’s different, We’re all multicultural.",397
TO5HjoK8Iu8,"John Holdren: Hello everyone. I'm John Holdren, President Obama's science and technology advisor. I wish I could be with you today for this celebration and personally congratulate you on the official opening of this extraordinary new facility. But while official duties are keeping me in Washington, I do want to give a big shout-out to NASA and to architect Bill McDonough and his team. You can all take great pride in this extremely green building, which I understand is designed to be the highest performing and most energy efficient building in the federal government. President Obama has noted that...quote...upgrading the energy efficiency of America's buildings is one of the fastest, easiest and cheapest ways to save money, cut down on harmful pollution and create good jobs right now...end of quote. And I know I'm speaking for him, as well as myself, when I say that it's great to see NASA taking that advice to heart, applying some of its most advanced technologies, right here on Earth, to create a building that achieves a platinum rating for environmentally sustainable construction. Sustainability Base at Ames will generate more electricity that it uses over the course of a year. It will use 90-percent less potable water than conventionally built buildings of equivalent size. Its maintenance costs will also drop, though the use of some of NASA's most advanced intelligent control technologies, originally developed for our nation's human and robotic space exploration missions. In short, this new building represents a better way of doing business for NASA, the federal government and the American people. NASA has long excelled at finding innovative ways to apply high-tech research and engineering breakthroughs to sustainability and environmentally-friendly practices on Earth. That commitment can be seen at Kennedy Space Center's environmentally-rich wildlife refuge. And it can be seen today, in this new energy-efficient facility. With today's opening, NASA has again proven, that advances in environmental science and building technology hold tremendous promise for the creation of a sustainable future in which ecological health, economic prosperity and quality of life are mutually reinforcing. So again, I want to congratulate all of you at NASA Ames Research Center for your commitment to moving us forward on the path toward environmental and economic sustainability. I'm proud of your progress, which conspicuously displays NASA's famous ""can-do"" spirit and points the way to a better quality of life on Planet Earth. Thank you.",399
